Postcode,year,total_fleet,bev_count,adoption_rate,SA2_CODE21,SA2_NAME21,STE_NAME21
0874,2025,333,0.0,0.0,702011045,Charles,Northern Territory
0875,2021,1310,0.0,0.0,702011048,Larapinta,Northern Territory
0875,2022,1281,0.0,0.0,702011048,Larapinta,Northern Territory
0875,2023,1204,0.0,0.0,702011048,Larapinta,Northern Territory
0875,2024,1204,3.0,0.0024916943521594683,702011048,Larapinta,Northern Territory
0875,2025,1261,3.0,0.0023790642347343376,702011048,Larapinta,Northern Territory
0880,2021,2470,0.0,0.0,702041063,East Arnhem,Northern Territory
0880,2022,2527,0.0,0.0,702041063,East Arnhem,Northern Territory
0880,2023,2603,0.0,0.0,702041063,East Arnhem,Northern Territory
0880,2024,2528,3.0,0.0011867088607594937,702041063,East Arnhem,Northern Territory
0880,2025,2563,3.0,0.0011705033164260631,702041063,East Arnhem,Northern Territory
0885,2021,622,0.0,0.0,702041062,Anindilyakwa,Northern Territory
0885,2022,635,0.0,0.0,702041062,Anindilyakwa,Northern Territory
0885,2023,662,0.0,0.0,702041062,Anindilyakwa,Northern Territory
0885,2024,676,0.0,0.0,702041062,Anindilyakwa,Northern Territory
0885,2025,685,0.0,0.0,702041062,Anindilyakwa,Northern Territory
0886,2021,713,0.0,0.0,702031057,Alligator,Northern Territory
0886,2022,653,0.0,0.0,702031057,Alligator,Northern Territory
0886,2023,537,0.0,0.0,702031057,Alligator,Northern Territory
0886,2024,613,3.0,0.004893964110929853,702031057,Alligator,Northern Territory
0886,2025,633,3.0,0.004739336492890996,702031057,Alligator,Northern Territory
2000,2021,19258,76.0,0.00394641188077682,117031644,Sydney (North) - Millers Point,New South Wales
2000,2022,19301,159.0,0.008237915133930884,117031644,Sydney (North) - Millers Point,New South Wales
2000,2023,19860,272.0,0.013695871097683786,117031644,Sydney (North) - Millers Point,New South Wales
2000,2024,21251,930.0,0.04376264646369583,117031644,Sydney (North) - Millers Point,New South Wales
2000,2025,22168,1571.0,0.07086791771923494,117031644,Sydney (North) - Millers Point,New South Wales
2007,2021,2359,5.0,0.00211954217888936,117031646,Ultimo,New South Wales
2007,2022,2656,14.0,0.005271084337349397,117031646,Ultimo,New South Wales
2007,2023,2701,24.0,0.008885597926693817,117031646,Ultimo,New South Wales
2007,2024,2446,40.0,0.016353229762878167,117031646,Ultimo,New South Wales
2007,2025,2357,49.0,0.02078913873568095,117031646,Ultimo,New South Wales
2008,2021,2873,9.0,0.003132613992342499,117031639,Chippendale,New South Wales
2008,2022,2937,20.0,0.0068096697310180455,117031639,Chippendale,New South Wales
2008,2023,3012,34.0,0.011288180610889775,117031639,Chippendale,New South Wales
