Postcode,year,total_fleet,bev_count,adoption_rate,SA2_CODE21,SA2_NAME21,STE_NAME21,SA3_NAME21,SA4_NAME21,GCC_NAME21,AREASQKM21,incentive_aud,charger_stations,total_plugs,ac_stations,dc_stations,has_dc_charger,max_power_kw,has_charging_data,nsw_comprehensive_data,median_income_weekly,median_age,apartment_ratio,total_dwellings,bev_count_lag1,adoption_rate_lag1,bev_growth_rate,plugs_per_1000_vehicles,fleet_density
0829,2024,2056,0.0,0.0,701031031,Howard Springs,Northern Territory,Litchfield,Darwin,Greater Darwin,118.021,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2442.0,36,0.002717391304347826,1104,3.0,0.0016816143497757848,-1.0,0.0,17.42062853221037
0829,2025,2057,3.0,0.0014584346135148275,701031031,Howard Springs,Northern Territory,Litchfield,Darwin,Greater Darwin,118.021,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2442.0,36,0.002717391304347826,1104,0.0,0.0,0.0,0.0,17.42910160056261
0830,2021,12137,0.0,0.0,701031033,Koolpinyah,Northern Territory,Litchfield,Darwin,Greater Darwin,1199.6495,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1062.0,65,0.0,11,0.0,0.0,0.0,0.0,10.117121709299258
0830,2022,12072,3.0,0.00024850894632206757,701031033,Koolpinyah,Northern Territory,Litchfield,Darwin,Greater Darwin,1199.6495,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1062.0,65,0.0,11,0.0,0.0,0.0,0.0,10.062939216829582
0830,2023,12038,10.0,0.000830702774547267,701031033,Koolpinyah,Northern Territory,Litchfield,Darwin,Greater Darwin,1199.6495,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1062.0,65,0.0,11,3.0,0.00024850894632206757,2.3333333333333335,0.0,10.034597605383906
0830,2024,12242,34.0,0.0027773239666721125,701031033,Koolpinyah,Northern Territory,Litchfield,Darwin,Greater Darwin,1199.6495,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1062.0,65,0.0,11,10.0,0.000830702774547267,2.4,0.0,10.204647274057965
0830,2025,12291,49.0,0.00398665690342527,701031033,Koolpinyah,Northern Territory,Litchfield,Darwin,Greater Darwin,1199.6495,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1062.0,65,0.0,11,34.0,0.0027773239666721125,0.4411764705882353,0.0,10.245492537612028
0832,2021,11551,3.0,0.00025971777335295646,701041042,Palmerston - South,Northern Territory,Palmerston,Darwin,Greater Darwin,24.9843,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2527.0,28,0.08945065629557608,2057,0.0,0.0,0.0,0.0,462.3303434556901
0832,2022,11816,4.0,0.00033852403520649965,701041042,Palmerston - South,Northern Territory,Palmerston,Darwin,Greater Darwin,24.9843,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2527.0,28,0.08945065629557608,2057,3.0,0.00025971777335295646,0.3333333333333333,0.0,472.93700443878754
0832,2023,12166,7.0,0.0005753739930955121,701041042,Palmerston - South,Northern Territory,Palmerston,Darwin,Greater Darwin,24.9843,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2527.0,28,0.08945065629557608,2057,4.0,0.00033852403520649965,0.75,0.0,486.94580196363313
0832,2024,12475,31.0,0.0024849699398797596,701041042,Palmerston - South,Northern Territory,Palmerston,Darwin,Greater Darwin,24.9843,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2527.0,28,0.08945065629557608,2057,7.0,0.0005753739930955121,2.857142857142857,0.0,499.3135689212825
0832,2025,12703,56.0,0.004408407462804062,701041042,Palmerston - South,Northern Territory,Palmerston,Darwin,Greater Darwin,24.9843,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2527.0,28,0.08945065629557608,2057,31.0,0.0024849699398797596,0.8064516129032258,0.0,508.4392998803248
0834,2021,1502,0.0,0.0,701031034,Virginia,Northern Territory,Litchfield,Darwin,Greater Darwin,54.7364,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2153.0,41,0.09562841530054644,1098,0.0,0.0,0.0,0.0,27.440606251050486
0834,2022,1494,0.0,0.0,701031034,Virginia,Northern Territory,Litchfield,Darwin,Greater Darwin,54.7364,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2153.0,41,0.09562841530054644,1098,0.0,0.0,0.0,0.0,27.294451224413734
0834,2023,1574,4.0,0.0025412960609911056,701031034,Virginia,Northern Territory,Litchfield,Darwin,Greater Darwin,54.7364,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2153.0,41,0.09562841530054644,1098,0.0,0.0,0.0,0.0,28.75600149078127
